VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,TotalCost
V001,CDA,42,CDA-C014-C002-C003-CDA,3,15-15-12,21.283405915560206,0.4729645759013379,11563.983880787713,11563.983880787713
V002,CDA,49,CDA-C009-C018-C006-CDA,3,20-12-17,32.311683614880025,0.7180374136640004,17556.014764084815,17556.014764084815
V003,CDA,55,CDA-C017-C001-C015-CDA,3,25-13-17,35.683291784869226,0.7929620396637607,19387.921869778947,19387.921869778947
V004,CDA,54,CDA-C012-C021-C007-C019-CDA,4,12-14-17-11,35.43272486221667,0.7873938858270373,19251.78050847106,19251.78050847106
V005,CDA,54,CDA-C013-C022-C004-CDA,3,21-18-15,34.20308430768574,0.7600685401707943,18583.67580717592,18583.67580717592
V006,CDA,40,CDA-C005-C008-CDA,2,20-20,22.100103888904563,0.4911134197534347,12007.72311297148,12007.72311297148
V007,CDA,53,CDA-C011-C016-C010-C024-CDA,4,17-10-15-11,50.98052670154843,1.132900593367743,27699.419507841314,27699.419507841314
V008,CDA,30,CDA-C020-C023-CDA,2,15-15,9.631958949601227,0.21404353221336062,5233.364362616667,5233.364362616667
